time,entries_daily,mean_windspeed_daily,DJU heat,mean_cloudiness_daily
1546344000,0,2.422916667,17.015,1
1546430400,24,3.392916667,18.38,0.750625
1546516800,70,3.4375,22.04,0.184791667
1546603200,36,2.803541667,22.995,0.449791667
1546689600,39,1.670625,24.78,0.797708333
1546776000,89,1.820625,20.725,1
1546862400,806,1.932083333,18.235,1
1546948800,442,3.276666667,15.415,0.907291667
1547035200,552,2.994791667,19.675,0.882291667
1547121600,524,2.259166667,21.515,0.770625
1547208000,636,1.640833333,19.515,0.940625
1547294400,618,2.594166667,18.125,0.96375
1547380800,128,4.749791667,14.445,0.967083333
1547467200,778,2.759583333,15.7,0.996666667
1547553600,458,1.02375,17.875,0.848125
1547640000,446,2.656458333,21.53,0.874583333
1547726400,490,3.191666667,18.33,0.40375
1547812800,678,3.635833333,20.98,0.846875
1547899200,581,3.112916667,17.36,0.809166667
1547985600,0,2.166041667,19.64,0.908333333
1548072000,796,2.097083333,22.7,0.588958333
1548158400,446,3.761041667,20.735,0.885416667
1548244800,464,3.056458333,19.8,0.876875
1548331200,578,1.704583333,21.195,0.99125
1548417600,852,1.8725,16.67,0.991666667
1548504000,504,4.794375,15.71,0.943125
1548590400,164,6.34,17.59,0.800625
1548676800,839,2.188125,19.03,0.9125
1548763200,453,5.521458333,19.59,0.878125
1548849600,500,3.388958333,20.83,0.570625
1548936000,560,4.559583333,19.895,0.916041667
1549022400,680,3.295833333,19.815,0.826041667
1549108800,213,4.309375,19.905,0.662708333
1549195200,96,2.149166667,21.74,0.217083333
1549281600,317,5.449166667,21.68,0.932708333
1549368000,253,2.030416667,18.375,1
1549454400,293,4.444583333,15.465,0.985
1549540800,311,4.697291667,16.925,0.736666667
1549627200,314,7.603958333,15.43,0.885208333
1549713600,0,6.52125,15.31,0.873125
1549800000,0,7.874166667,16.395,0.745208333
1549886400,0,2.833125,17.29,0.630208333
1549972800,0,1.685833333,19.28,0.381875
1550059200,0,3.009583333,18.94,0.454375
1550145600,0,2.961666667,17.87,0.155833333
1550232000,0,2.097291667,15.705,0.225416667
1550318400,0,1.794166667,16.005,0.728541667
1550404800,0,3.721666667,14.5,0.744166667
1550491200,0,1.734166667,18.91,0.826875
1550577600,0,1.418958333,16.815,0.85125
1550664000,0,2.086875,18.015,0.922083333
1550750400,0,2.015833333,17.2,0.769583333
1550836800,0,2.872916667,14.655,0.441041667
1550923200,0,2.703541667,12.885,0.282083333
1551009600,0,2.890208333,14.83,0.519375
1551096000,337,2.400416667,16.32,0.020416667
1551182400,259,1.823958333,14.22,0.007916667
1551268800,310,2.467708333,11.44,0.098541667
1551355200,297,5.507708333,13.805,0.854375
1551441600,346,3.515208333,15.765,0.895416667
1551528000,210,5.713333333,13.39,0.889583333
1551614400,97,8.228541667,12.065,0.941458333
1551700800,385,8.440416667,16.105,0.786458333
1551787200,318,5.538125,15.245,0.81125
1551873600,274,5.79125,14.745,0.883541667
1551960000,288,5.088333333,15.93,0.773333333
1552046400,318,4.585833333,18.18,0.646875
1552132800,211,5.636458333,13.45,0.997083333
1552219200,96,7.475833333,13.265,0.685416667
1552305600,361,3.754166667,16.585,0.457916667
1552392000,222,5.821875,17.435,0.845625
1552478400,310,5.64375,16.35,0.713125
1552564800,297,8.114375,15.295,0.95875
1552651200,318,6.215208333,13.425,0.995416667
1552737600,211,6.44875,13.965,0.995833333
1552824000,96,5.541666667,16.395,0.627083333
1552910400,361,3.200833333,17.265,0.571875
1552996800,222,1.14125,17.955,0.875833333
1553083200,310,1.329375,17.175,0.74625
1553169600,297,2.822291667,15.37,0.348958333
1553256000,318,1.916875,13.57,0.057708333
1553342400,211,2.890208333,14.815,0.252708333
1553428800,96,3.322083333,15.81,0.350625
1553515200,479,3.880208333,16.94,0.329375
1553601600,309,3.23,17.455,0.019791667
1553688000,360,3.614166667,17.59,0.056875
1553774400,365,3.865625,16.69,0.113125
1553860800,385,3.041458333,13.57,0.129583333
1553947200,248,2.750416667,12.24,0.03125
1554033600,96,2.037291667,12.505,0.364583333
1554120000,426,2.8675,11.075,0.418125
1554206400,344,4.95125,14.41,0.792291667
1554292800,326,2.666041667,19.405,0.677916667
1554379200,380,5.041875,20.47,0.617708333
1554465600,372,4.035,16.44,0.965625
1554552000,233,3.37125,17.345,0.96
1554638400,65,4.371875,14.36,0.684166667
1554724800,135,3.189166667,15.7,0.746875
1554811200,267,1.59625,14.78,0.512916667
1554897600,178,3.008333333,16.66,0.78125
1554984000,187,3.385,14.94,0.291666667
1555070400,117,2.418125,16.785,0.013958333
1555156800,112,4.02375,17.08,0.302083333
1555243200,59,4.496666667,16.51,0.874791667
1555329600,73,5.002708333,14.49,0.854166667
1555416000,118,3.530625,11.98,0.660208333
1555502400,110,5.128125,11.33,0.957291667
1555588800,123,3.695,7.59,0.981041667
1555675200,101,1.854166667,6.41501004,0.66125
1555761600,73,3.45375,7.715,0.059375
1555848000,40,2.333125,9,0.314791667
1555934400,0,3.652708333,9.56,0.797916667
1556020800,323,3.309791667,10.475,0.718958333
1556107200,428,4.853125,12.905,0.825416667
1556193600,393,5.156875,14.205,0.767916667
1556280000,351,5.000416667,13.965,0.815
1556366400,319,5.759166667,13.89,0.647916667
1556452800,128,3.053958333,15.86,0.910416667
1556539200,448,2.460625,14.315,0.557291667
1556625600,349,2.372708333,12.965,0.605833333
1556712000,0,2.133541667,11.65,0.946875
1556798400,266,2.899791667,13.69,0.801041667
1556884800,104,2.217291667,14.79,0.856666667
1556971200,221,3.989375,14.725,0.707708333
1557057600,80,2.972708333,17.69,0.210416667
1557144000,407,1.979791667,16.16,0.501666667
1557230400,286,3.095833333,13.8,0.89375
1557316800,0,7.762916667,11.505,0.83375
1557403200,352,5.542916667,11.885,0.85
1557489600,384,4.283541667,13.56,0.95625
1557576000,271,3.4525,12.04,0.651666667
1557662400,103,3.668958333,13.8,0.195208333
1557748800,516,5.512291667,12.065,0.305625
1557835200,311,6.803333333,10.405,0.150208333
1557921600,326,5.620416667,10.625,0.487291667
1558008000,366,3.890416667,10.695,0.969791667
1558094400,394,3.305,10.465,0.92625
1558180800,267,2.391458333,11.435,0.78
1558267200,75,2.521458333,11.91,0.815833333
1558353600,437,2.04875,12.475,0.550416667
1558440000,339,2.169583333,9.865,0.505625
1558526400,345,2.04375,8.86,0.533125
1558612800,363,1.898125,7.755,0.848125
1558699200,387,3.017291667,9.055,0.516458333
1558785600,231,2.821666667,9.01,0.602708333
1558872000,90,2.588333333,10.835,0.972916667
1558958400,434,3.046875,7.975,0.784166667
1559044800,273,3.420625,11.765,0.684791667
1559131200,330,3.266041667,13.72,0.645833333
1559217600,0,2.826458333,8.715,0.63875
1559304000,430,1.378333333,7.837805332,0.271041667
1559390400,199,2.020833333,4.923382213,0.151875
1559476800,53,3.194375,7.56,0.654791667
1559563200,436,2.788125,7.44,0.7575
1559649600,349,3.752916667,9.6,0.883333333
1559736000,329,2.521875,10.905,0.661458333
1559822400,262,3.351041667,11.895,0.66625
1559908800,389,8.116666667,12.045,0.834583333
1559995200,240,4.117291667,10.54,0.815208333
1560081600,88,2.355208333,10.29,0.947916667
1560168000,0,3.303541667,11.875,0.62375
1560254400,360,1.521458333,15.735,0.73
1560340800,332,3.044791667,11.84,0.802708333
1560427200,324,4.04625,10.7,0.635625
1560513600,386,2.771041667,11.27,0.295833333
1560600000,241,4.645208333,11.525,0.749583333
1560686400,69,3.545208333,8.27,0.556458333
1560772800,443,2.136458333,7.345091498,0.442708333
1560859200,369,3.162708333,2.27298601,0.770416667
1560945600,343,4.730625,7.21,0.907916667
1561032000,373,2.914791667,7.875,0.708541667
1561118400,431,2.475416667,7.815,0.544791667
1561204800,233,3.357916667,6.149272894,0.486041667
1561291200,52,3.768333333,2.970157692,0.92875
1561377600,432,2.969166667,6.7,0.84
1561464000,546,2.460833333,3.64922021,0.790833333
1561550400,454,4.929166667,1.481755,0.268958333
1561636800,383,4.992291667,0.151602727,0.214375
1561723200,440,3.49875,0.046202977,0.396458333
1561809600,213,2.819791667,2.360475904,0.592083333
1561896000,66,2.770416667,3.591793299,0.3725
1561982400,239,3.991458333,5.22,0.494583333
1562068800,82,3.600625,5.495250297,0.051458333
1562155200,128,5.469166667,3.492173802,0.050833333
1562241600,134,5.204375,2.895577016,0.437708333
1562328000,238,2.798333333,1.853871456,0.249583333
1562414400,188,2.273541667,2.809372565,0.169166667
1562500800,96,2.901875,3.01594791,0.38875
1562587200,134,4.50875,3.287755092,0.273958333
1562673600,152,5.027708333,4.037344937,0.000625
1562760000,207,2.55625,3.211578089,0.371458333
1562846400,169,3.589166667,3.159439002,0.757083333
1562932800,165,2.683125,3.148568402,0.680625
1563019200,140,3.308333333,4.648016427,0.20375
1563105600,0,4.2125,3.596930491,0.065
1563192000,140,3.276875,4.754748228,0.02625
1563278400,283,2.547916667,3.621758693,0.378541667
1563364800,216,2.888125,4.354464706,0.496458333
1563451200,180,3.661041667,7.725,0.717708333
1563537600,173,3.180625,6.066945161,0.323333333
1563624000,162,4.316666667,4.665,0.739583333
1563710400,56,2.412291667,5.438227236,0.433125
1563796800,97,1.78375,3.644521527,0.15875
1563883200,120,3.884791667,1.583505,0.219791667
1563969600,101,2.383541667,1.548223244,0.286041667
1564056000,175,4.1175,0.966734753,0.381458333
1564142400,76,2.28625,5.715,0.943125
1564228800,133,3.038958333,5.13,0.740833333
1564315200,46,3.509166667,7.56,0.367708333
1564401600,102,5.040625,7.065,0.469375
1564488000,84,6.005416667,6.52,0.732083333
1564574400,115,3.201666667,8.005,0.702083333
1564660800,109,1.903958333,5.314554974,0.766458333
1564747200,96,2.357708333,4.87673272,0.170208333
1564833600,141,2.594375,3.858411395,0.61875
1564920000,44,3.186458333,5.240829543,0.578333333
1565006400,88,3.647083333,5.82,0.927708333
1565092800,90,2.112708333,5.885,0.925625
1565179200,94,2.419375,5.255,0.736875
1565265600,103,2.919375,4.333168261,0.795416667
1565352000,83,6.333958333,4.785,0.876458333
1565438400,129,5.774375,4.495,0.720416667
1565524800,39,3.472083333,6.195,0.628541667
1565611200,85,3.496458333,7.695,0.634791667
1565697600,101,3.170625,9.71,0.639791667
1565784000,46,4.245,8.59,0.887708333
1565870400,0,3.328333333,6.105,0.767083333
1565956800,38,3.894166667,8.08,0.80625
1566043200,135,4.555833333,6.43,0.94625
1566129600,60,5.460625,5.685,0.615833333
1566216000,94,2.749583333,8.485,0.393333333
1566302400,123,1.984583333,8.115,0.340208333
1566388800,138,2.389583333,5.581772896,0.286875
1566475200,134,2.079375,5.601418102,0.067083333
1566561600,0,3.447708333,3.286387899,0.406458333
1566648000,146,2.341041667,2.144933942,0.605625
1566734400,57,2.099791667,4.561337037,0.350208333
1566820800,143,2.869166667,2.310487589,0.723541667
1566907200,143,2.99,2.805799047,0.694166667
1566993600,156,3.47375,4.72,0.901458333
1567080000,126,1.956875,5.318640898,0.595208333
1567166400,117,1.822708333,5.341330312,0.423333333
1567252800,165,4.008333333,6.365,0.518958333
1567339200,84,2.718125,6.87,0.573125
1567425600,0,2.495416667,9.19,0.079166667
1567512000,0,2.133125,7.235,0.163333333
1567598400,0,2.242291667,8.655,0.555625
1567684800,0,3.281041667,9.885,0.550833333
1567771200,0,2.678958333,10.915,0.477291667
1567857600,0,3.13875,7.505,0.480208333
1567944000,0,2.114375,10.545,0.456458333
1568030400,0,2.846875,12.595,0.696666667
1568116800,0,2.997291667,8.305,0.508958333
1568203200,0,2.837708333,8.12,0.803541667
1568289600,0,2.108333333,5.775,0.745833333
1568376000,0,3.27375,5.997178416,0.233958333
1568462400,0,3.689583333,3.183004862,0.397916667
1568548800,0,2.859166667,4.188429924,0.026875
1568635200,268,3.140208333,4.562456459,0.147291667
1568721600,222,4.226458333,5.275,0.553333333
1568808000,135,6.36375,6.72,0.001875
1568894400,222,6.785625,8.115,0
1568980800,186,5.653541667,6.378943417,0.015833333
1569067200,198,4.542916667,2.822885431,0.414791667
1569153600,80,5.345416667,6.24,0.70625
1569240000,212,4.155625,10.255,0.761458333
1569326400,208,6.1525,6.63,0.852291667
1569412800,157,4.273125,8.715,0.885208333
1569499200,211,5.4875,7.695,0.993125
1569585600,161,4.745,8.45,0.782916667
1569672000,272,4.115416667,8.755,0.77625
1569758400,73,6.147708333,8.075,0.870416667
1569844800,225,3.601458333,10.445,0.922708333
1569931200,335,5.979375,7.605,0.883541667
1570017600,271,2.728333333,9.855,0.84875
1570104000,304,3.727708333,11.125,0.849791667
1570190400,290,5.2375,10.29,0.808333333
1570276800,284,3.176875,9.61,0.589583333
1570363200,85,5.164791667,9.14,0.584375
1570449600,336,3.26375,12.18,0.853333333
1570536000,297,5.283333333,9.6,0.837291667
1570622400,249,4.539375,11.335,0.782291667
1570708800,273,3.231458333,9.32,0.686666667
1570795200,249,3.836666667,8.665,0.779375
1570881600,302,3.315625,7.35,0.591458333
1570968000,76,2.606875,8.61,0.848333333
1571054400,323,3.58,8.685,0.852708333
1571140800,338,4.010208333,11.515,0.729375
1571227200,212,6.623125,10.18,0.92
1571313600,281,4.007083333,11.23,0.838333333
1571400000,274,4.578333333,11.33,0.7525
1571486400,277,1.988125,12.16,0.875208333
1571572800,73,1.960416667,12.725,0.881666667
1571659200,118,0.966666667,15.075,0.410833333
1571745600,192,2.580833333,14.92,0.697083333
1571832000,126,3.501041667,11.39,0.903958333
1571918400,216,2.474166667,11.725,0.836875
1572004800,126,3.949583333,10.355,0.898333333
1572091200,44,4.100833333,8.95,0.877083333
1572177600,74,3.885,13.48,0.989583333
1572264000,64,4.399166667,15.045,0.994583333
1572350400,75,4.0075,13.55,1
1572436800,47,3.130833333,10.975,0.980833333
1572523200,46,3.722708333,9.8,0.971041667
1572609600,0,5.526666667,9.81,0.975625
1572696000,41,5.666666667,13.06,0.885625
1572782400,78,5.388958333,13.135,0.782708333
1572868800,337,5.512083333,13.67,0.728125
1572955200,285,3.846041667,15.28,0.810625
1573041600,244,3.38625,14.42,0.798333333
1573128000,276,3.781041667,18.285,0.657708333
1573214400,297,2.829166667,17.32,0.645208333
1573300800,271,3.908333333,19.665,0.69125
1573387200,74,2.924166667,17.785,0.505416667
1573473600,0,3.72375,16.72,0.665625
1573560000,283,2.929791667,17.2,0.625625
